English,Portugues
plates,pratos
shoulders,ombros
burnt,queimado
recorded,gravado
upper,superior
counts,contagens
tale,conto
profit,lucro
colleague,colega
warehouse,armazém
hostage,refém
shore,costa
porn,pornô
miami,Miami
fifteen,quinze
visitors,visitantes
bo,bo
net,líquido
insult,insulto
owen,Owen
cities,cidades
causing,causando
lemon,limão
heal,curar
banging,batendo
honeymoon,lua de mel
appeal,apelo
marshall,Marshall
critical,crítico
creating,criando
scotland,Escócia
crane,guindaste
enormous,enorme
testimony,testemunho
praise,louvar
fights,brigas
indians,índios
commission,comissão
growls,rosnos
nicole,Nicole
sins,pecados
fraud,fraude
branch,filial
happily,Felizmente
bout,ataque
covering,cobertura
occurred,ocorreu
beans,feijões
raw,cru
muscle,músculo
pages,Páginas
tense,tenso
relationships,relacionamentos
management,gerenciamento
assignment,atribuição
blonde,loiro
catching,pegando
exposed,expor
canada,Canadá
dont,das quais
han,ele
von,de
comedy,comédia
marco,Marco
stroke,AVC
whistling,assobio
buildings,edifícios
shaking,tremendo
p.m.,PM.
facility,instalação
appropriate,apropriado
remarkable,notável
transferred,transferido
drawn,retirou
tits,Peitos
clicking,clicando
symbol,símbolo
motor,motor
employees,funcionários
ambassador,embaixador
mothers,mães
pile,pilha
feeding,alimentando
soda,refrigerante
checks,Verificações
bears,ursos
cookies,biscoitos
slut,final
awfully,muito
stepped,pisou
toys,brinquedos
levels,níveis
differently,diferentemente
magnificent,magnífico
steak,bife
tube,tubo
leaders,líderes
superior,superior
herr,Senhor
pan,frigideira
expression,expressão
currently,atualmente
throne,trono
deadly,mortal
bee,abelha
tooth,dente
depressed,depressivo
potatoes,batatas
wicked,malvado
resources,recursos
native,nativo
centuries,séculos
karl,Karl
poetry,poesia
multiple,múltiplo
cable,cabo
shortly,Em breve
buzz,zumbido
socks,meias
fingerprints,impressões digitais
goddess,deusa
chin,queixo
anxious,ansioso
september,setembro
colors,cores
basketball,basquetebol
promises,promessas
explained,explicado
appearance,aparência
musical,musical
sends,envia
slide,deslizar
aii,AII
shawn,Shawn
ultimate,final
pork,carne de porco
communication,comunicação
payment,pagamento
structure,estrutura
paperwork,papelada
obsessed,obcecado
lazy,preguiçoso
russians,russos
actors,atores
squeeze,espremer
magical,mágico
colleagues,colegas
admire,admirar
madness,loucura
roads,estradas
entry,entrada
injury,ferida
burden,fardo
racing,corrida
manner,maneiras
freezing,congelando
bits,bits
norman,normando
mount,montar
battery,bateria
dessert,sobremesa
pound,libra
visited,visitado
motel,motel
rumbling,estridente
cinema,cinema
fond,Alegria
halfway,a meio caminho
rifle,rifle
reception,recepção
statue,estátua
fridge,geladeira
brick,tijolo
abandon,abandono
lap,colo
natalie,Natalie
wars,Guerras
recommend,recomendar
brush,escovar
nelson,Nelson
pill,comprimido
concept,conceito
w,Em
delay,atraso
quarters,Quarters
korea,Coréia
janet,Janet
rub,esfregar
mall,shopping center
soil,solo
complaint,reclamação
sail,velejar
baker,padeiro
coughs,tosse
bucket,balde
description,descrição
badge,distintivo
measure,medir
hip,quadril
function,função
indistinctly,indistintamente
harris,Harris
foundation,Fundação
labor,trabalho
willie,Willie
waiter,garçom
homeless,morador de rua
proved,provou
unfortunate,infeliz
log,registro
meetings,Encontros
giggles,risadas
combat,combate
poem,poema
polish,polonês
handed,entregue
mia,meu
weed,erva
raymond,Raymond
tons,toneladas
satellite,satélite
jersey,Jersey
eagle,águia
privacy,privacidade
chapter,capítulo
treating,tratamento
wisdom,sabedoria
flip,virar
entering,entrando
barn,celeiro
farmer,agricultor
clan,clã
budget,orçamento
pub,bar
temporary,temporário
effective,eficaz
sonny,Sonny
wendy,Wendy
juan,Juan
lamb,cordeiro
plot,trama
riley,Riley
proposal,proposta
sticks,Gravetos
searched,pesquisado
blessing,bênção
rage,raiva
bothered,incomodado
sydney,Sydney
basis,base
manners,maneiras
recover,recuperar
twist,torção
neil,Neil
leak,vazar
item,item
catholic,católico
sighing,suspirando
retired,aposentado
kings,reis
inner,interno
cents,centavos
affect,afetar
forbidden,proibido
patch,correção
drops,gotas
necessarily,necessariamente
provided,oferecido
meters,metros
booked,reservado
returns,retorna
gloria,Gloria
fires,incêndios
humor,humor
torn,rasgado
e-mail,e-mail
rocky,rochoso
introduced,introduzido
creative,criativo
betray,trair
soviet,Soviético
various,vários
added,adicionado
discovery,descoberta
cowboy,vaqueiro
suspected,suspeito
suggested,sugerido
delighted,encantado
sticking,grudando
dive,mergulho
shane,Shane
radar,radar
prosecutor,promotor
amber,âmbar
vast,grande
quinn,Quinn
owned,controlado
cookie,biscoito
finest,melhor
felix,Felix
pump,bombear
valentine,namorados
counter,contador
sorts,classifica
coin,moeda
warren,Warren
slaves,escravos
marine,marinho
illness,doença
sack,saco
bid,oferta
require,exigir
moscow,Moscou
largest,Maior
washing,lavando
achieve,alcançar
causes,causas
k,k
mo,para
dope,droga
nest,ninho
palm,Palma
logan,Logan
constant,constante
b.,b.
boo,vaia
medication,medicamento
gravity,gravidade
booze,bebida
noah,Noé
evan,Evan
abroad,fora do país
christine,Christine
rising,ascendente
analysis,análise
cuts,cortes
eats,come
employee,funcionário
vodka,vodka
damaged,danificado
solar,solar
height,altura
pops,pops
yards,quintais
terrified,aterrorizado
suitcase,mala
chemical,químico
preparing,preparando
advanced,Avançado
fund,fundo
wears,desgasta
chirping,chilrear
web,rede
phase,Estágio
prom,baile de formatura
suggesting,sugerindo
fleet,frota
lame,muito ruim
irish,irlandês
editor,editor
october,Outubro
assumed,assumido
whip,chicote
mel,Mel
region,região
amongst,entre
temper,temperamento
discussion,discussão
engines,motores
operate,operar
sunshine,luz do sol
acted,agiu
undercover,disfarçado
horror,Horror
tested,testado
smash,esmagar
contrary,contrário
roses,rosas
poker,poker
wrapped,envolto
korean,coreano
graham,Graham
mi,meu
fu,era
ivan,Ivan
focused,focado
liam,Liam
tragic,trágico
carla,Carla
demons,demônios
rounds,rodadas
entertainment,entretenimento
gathered,coletado
uhh,uhh
yells,gritos
lincoln,Lincoln
crossing,cruzando
blanket,cobertor
nut,noz
travis,Travis
pockets,bolsos
limited,limitado
paintings,pinturas
sober,sóbrio
caesar,César
sis,aluguel
intended,pretendido
niece,sobrinha
computers,computadores
tennis,tênis
needle,agulha
chicks,Chicks
traditional,tradicional
delicate,delicado
independent,independente
leslie,Leslie
lauren,Lauren
grandson,Neto
repair,reparar
a.,a.
brandon,Brandon
executive,executivo
colin,Colin
recognized,reconhecido
holmes,Holmes
regarding,a respeito de
weakness,fraqueza
aliens,Aliens
gunshots,tiros
european,europeu
method,método
tool,ferramenta
demands,demandas
permit,permitir
towel,toalha
daisy,margarida
nowadays,hoje em dia
spider,aranha
northern,norte
rangers,guardas
zoo,multar
praying,Rezar
antonio,Antonio
passengers,passageiros
con,com
australia,Austrália
technique,técnica
cellphone,celular
gently,suavemente
operations,operações
planes,aviões
bunny,coelhinho
gunfire,tiros
shining,brilhante
backwards,para trás
skill,habilidade
uh-,uh-
baron,barão
kidnapping,sequestro
iike,aquilo foi
marshal,marechal
petty,pequeno
sealed,selado
massage,massagem
raising,subindo
menu,cardápio
diary,diário
fucker,Idiota
wagon,vagão
audition,audição
mitch,Mitch
mexican,mexicano
casino,cassino
bacon,bacon
diego,Diego
dutch,holandês
promotion,promoção
click,clique
forgiveness,perdão
burst,explodido
permanent,permanente
interfere,interferir
chanting,cantando
dammit,Droga
spencer,Spencer
recovered,recuperado
registered,registrado
sunny,ensolarado
packing,embalagem
scenes,cenas
superman,Super homen
questioning,questionamento
unfair,injusto
admitted,admitido
ancestors,Antepassados
polite,educado
completed,concluído
swallow,engolir
conduct,conduta
prayers,orações
sheet,folha
fried,frito
avenue,Avenida
poisoned,envenenado
reverse,reverter
newspapers,jornais
ford,Ford
complaining,reclamando
senses,sentidos
investment,investimento
absurd,absurdo
potato,batata
understands,entende
grows,cresce
inspired,inspirado
ruby,rubi
celebrating,a comemorar
tag,marcação
ram,bater
requires,requer
bonnie,Bonnie
bugs,insetos
leonard,Leonard
elliot,Elliot
hooked,viciado
jill,Jill
ranch,rancho
safer,mais segura
worn,desgastado
crashing,batia
lands,terras
heather,Mesclado
ash,cinzas
leather,couro
grounds,terrenos
assuming,assumindo
nails,unhas
dana,dias
conspiracy,conspiração
thanksgiving,Ação de graças
pierre,Pierre
guardian,guardião
rumors,rumores
yen,se
megan,Megan
ashes,cinzas
terror,terror
misunderstanding,mal-entendido
tire,pneu
boats,barcos
parade,parada
halt,parada
immunity,imunidade
adults,adultos
steam,vapor
kang,qual
closely,de perto
pearl,pérola
soccer,futebol
adrian,Adrian
priority,prioridade
shouts,gritos
donald,Donald
happier,mais feliz
khan,Khan
struggling,lutando
root,raiz
larger,maior
november,novembro
boot,bota
conflict,conflito
laughed,sorriu
debbie,Debbie
cherry,cereja
honking,buzinando
concerns,preocupações
celebration,celebração
sore,dolorido
unconscious,inconsciente
cattle,gado
breasts,seios
fairly,com justiça
fee,taxa
recognise,reconhecer
wade,Wade
radiation,radiação
holidays,feriados
raining,chovendo
forgetting,esquecendo
lungs,pulmões
register,registro
shadows,sombras
specifically,especificamente
sarge,Sarge
ideal,ideal
turtle,tartaruga
spoil,estragar
deserved,mereceu
ronnie,Ronnie
gina,Gina
candidate,candidato
lance,lança
types,tipos
bloke,cara
explode,explodir
immediate,imediato
belonged,pertencia
identified,identificado
di,De
hunger,fome
closest,mais próximo
combination,combinação
nanny,babá
seth,Seth
gabriel,Gabriel
develop,desenvolver
detectives,detetives
severe,forte
en,em
organized,organizado
franklin,Franklin
gut,intestino
splendid,esplêndido
dismissed,demitido
pm,PM
yang,Qual
halloween,dia das Bruxas
ellie,Ellie
vulnerable,vulnerável
continued,contínuo
vital,vital
comrades,camaradas
bureau,escritório
drawer,gaveta
harper,Harper
retreat,retiro
carson,Carson
benny,Benny
pillow,travesseiro
troy,Troy
ace,ás
cart,carrinho
nap,sesta
chan,Chan
ham,também
announce,anunciar
borrowed,emprestado
parked,estacionado
galaxy,galáxia
voted,votado
muffled,abafado
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,joia
kisses,beijos
luggage,bagagem
groom,noivo
oops,opa
lighter,isqueiro
masters,Mestres
alliance,aliança
buddies,parceiro
clothing,roupas
denied,negado
drown,afogar
alike,parecido
excellency,excelência
relative,relativo
photographs,Fotografias
burger,hambúrguer
dough,massa
alicia,Alicia
wreck,naufrágio
approve,aprovar
produced,produzido
christina,Christina
physically,fisicamente
stations,estações
eli,ou
samantha,Samantha
spiritual,espiritual
sire,pai
roaring,rugindo
stab,facada
inch,polegada
servants,funcionários
limits,limites
unexpected,inesperado
arrival,chegada
whimpering,choramingando
basket,cesta
sheets,folhas
scandal,escândalo
stink,fedor
homer,Homer
tara,Tara
christopher,Christopher
toes,dedos do pé
t-,t-
shield,escudo
shooter,atirador
instant,instante
objects,objetos
rehearsal,ensaio
disturbing,perturbador
directed,direcionado
scan,Varredura
electronic,eletrônico
republic,república
overnight,durante a noite
counsel,conselho
sirens,sirenes
dorothy,Dorothy
bait,isca
dignity,dignidade
explains,explica
lean,magro
heroin,heroína
tracy,Tracy
rex,rex
barney,Barney
gossip,fofoca
humble,humilde
economy,economia
worlds,os mundos
impress,impressionar
clara,Clara
tissue,tecido
threaten,ameaçar
et,E
bump,ressalto
supreme,supremo
bingo,Bingo
mitchell,Mitchell
excitement,excitação
mankind,humanidade
document,documento
broad,largo
vietnam,Vietnã
vessel,navio
lit,aceso
dale,Dale
killers,assassinos
connor,Connor
mario,Mario
foul,falta
stare,olhar fixamente
deaths,mortes
hut,cabana
elements,elementos
coma,coma
laying,deitando
coffin,caixão
paula,Paula
cocaine,cocaína
puppy,filhote de cachorro
louder,mais alto
handled,manuseado
announcement,anúncio
oath,juramento
mob,dor
cotton,algodão
deposit,depósito
taxes,impostos
injuries,ferimentos
jen,apenas
autopsy,autópsia
advise,conselho
gig,show
lecture,palestra
posted,postou
skinny,magrelo
lo,isto
include,incluir
revealed,revelado
infected,infetado
relieved,aliviado
assistance,assistência
solo,Sozinho
determine,determinar
terrorists,terroristas
elsewhere,em outro lugar
lamp,lâmpada
practical,prático
marked,marcado
adorable,adorável
rubber,borracha
purple,roxo
operating,operativo
suite,suíte
apologies,desculpas
personnel,pessoal
beam,feixe
poet,poeta
samples,amostras
arrow,seta
counselor,conselheiro
carpet,tapete
allen,Allen
audrey,Audrey
spotted,identificado
floating,flutuando
corrected,corrigido
located,localizado
journalist,jornalista
insisted,insistiu
operator,operador
rely,confiar
singh,Singh
fooled,enganado
arrives,chega
i.d.,eu ia.
leon,Leon
walt,Walt
eastern,Oriental
ay,Ay
shave,depilar
remaining,restante
toss,sorteio
anderson,Anderson
lip,lábio
acid,ácido
nora,Nora
si,e
december,dezembro
anonymous,anônimo
inn,dentro
planted,plantado
oldest,mais antigo
breast,seios
sixth,sexto
error,erro
reporting,comunicando
egypt,Egito
islands,ilhas
brother-in-law,cunhado
jules,Jules
roommate,colega de quarto
sings,canta
scum,escumalha
visitor,Visitante
giggling,rindo
described,descrito
geez,Nossa
inches,polegadas
commitment,compromisso
hercules,Hércules
react,reagir
cows,vacas
protest,protesto
misery,miséria
theft,roubo
embrace,abraçar
darn,maldito
harsh,severo
andrea,Andrea
communicate,comunicar
fathers,pais
faithful,fiel
hector,Hector
uh-uh,uh-uh
flame,chama
medal,medalha
silk,seda
photographer,fotógrafo
trevor,Trevor
cemetery,cemitério
rear,traseira
freddy,Freddy
banana,banana
allison,Allison
emotion,emoção
chap,indivíduo
dated,datado
excuses,desculpas
shitty,merda
bin,BIN
jew,ou
gum,Chiclete
crushed,esmagado
efforts,esforços
content,contente
corporal,corporal
realised,percebeu
del,do
rap,rap
hopeless,sem esperança
debate,debate
era,era
luckily,felizmente
ton,tonelada
liquid,líquido
swell,inchar
peggy,Peggy
feast,celebração
murphy,Murphy
attracted,atraído
application,aplicativo
profession,profissão
bench,banco
vanessa,Vanessa
ahem,ahem
symptoms,sintomas
scout,Scout
crashed,travou
keen,ansioso
aircraft,Aeronave
formed,formado
hon,ela
aggressive,agressivo
pale,pálido
significant,significativo
duncan,Duncan
clubs,clubes
visual,visual
embassy,embaixada
defence,defesa
cabinet,gabinete
display,mostrar
fame,fama
gibbs,Gibbs
drowned,afogado
wolves,Lobos
filming,filmando
dunno,Não sei
cursed,amaldiçoado
twin,gêmeo
sorrow,tristeza
vault,cofre
defeated,derrotado
watson,Watson
quote,citar
penalty,pena
bargain,barganha
pepper,pimenta
speaker,palestrante
compare,comparar
satan,Satanás
helmet,capacete
scar,cicatriz
copies,cópias
fuss,discutir
envelope,envelope
perry,perada
stinks,cheira mal
african,africano
arrangements,arranjos
wished,desejado
honored,honrado
believing,acreditando
discussed,discutido
assigned,atribuído
rosa,Rosa
oven,forno
jenna,Jenna
attacking,atacante
tin,acreditar
sonic,sônica
collar,colarinho
mere,mais
romeo,Romeu
belief,crença
storage,armazenar
rusty,oxidado
psycho,psicopata
climbing,escalando
melissa,Melissa
fears,medos
sum,soma
dedicated,dedicada
ladder,escada
alternative,alternativa
raid,ataque
dining,jantar
ms,EM
corporate,corporativo
folk,folk
jon,Jon
replaced,substituído
bailey,Bailey
un,e
heels,salto
duties,obrigações
smarter,mais esperto
existed,existia
surprising,surpreendente
chess,xadrez
requested,Requeridos
cruise,cruzeiro
primary,Primário
rhythm,ritmo
drum,tambor
models,modelos
motorcycle,motocicleta
adopted,adotado
barrel,barril
cargo,carga
planets,planetas
shove,empurrão
wha,quatro
surprises,surpresas
rosie,Rosie
dings,dings
trailer,reboque
cannon,canhão
tables,mesas
arse,bunda
ally,aliado
lawrence,Lawrence
wee,wee
tapes,fitas
dull,chato
sandra,Sandra
teenage,Adolescência
kent,Kent
cooperate,colaborar
risks,riscos
dug,cavado
worthless,inútil
arriving,A chegar
kindness,gentileza
ties,laços
items,Unid
and-,e-
grip,pegada
relations,relações
rumor,boato
skirt,saia
frog,sapo
paige,Paige
lloyd,Lloyd
claimed,reivindicado
perfume,perfume
instrumental,instrumental
flames,chamas
association,Associação
loses,perde
january,janeiro
spike,espinho
israel,Israel
eleven,onze
gallery,galeria
ginger,ruivo
activities,Atividades
iraq,Iraque
boarding,embarque
fist,punho
stuffed,recheado
improve,melhorar
creation,criação
connie,Connie
infection,infecção
strikes,ataques
wiped,limpo
tension,tensão
whistles,assobios
kindly,gentilmente
certificate,certificado
curtis,Curtis
bold,audacioso
threats,ameaças
claudia,Claudia
sid,Sid
twisted,torcido
suspended,suspenso
affected,afetado
envy,inveja
whale,baleia
dial,Dial
cameron,Cameron
martial,marcial
controlled,controlada
lung,pulmão
nigga,mano
coal,carvão
upside,parte de cima
imperial,imperial
pam,Pam
paranoid,paranóico
signing,assinatura
congress,Congresso
villa,Villa
candles,velas
filling,enchimento
becky,Becky
comic,quadrinho
faint,desmaiar
recovery,recuperação
volunteer,voluntário
tech,tecnologia
bleed,sangrar
positions,posições
cindy,Cindy
narrow,estreito
forbid,proibir
stuart,Stuart
perspective,perspectiva
faced,enfrentou
neat,organizado
pierce,perfurar
observe,observar
cycle,ciclo
psychic,psíquico
handling,manuseio
goose,ganso
accidentally,acidentalmente
conclusion,conclusão
designer,Designer
sits,senta
importance,importância
spots,pontos
francs,Francos
sweep,varrer
destroying,destruindo
communist,comunista
blackmail,chantagem
pacific,pacífico
risky,arriscado
glorious,glorioso
filed,arquivado
hatred,ódio
cam,Cam
deals,negócios
pos,POS
fooling,enganando
persons,pessoas
scotch,escocês
executed,executado
brakes,freios
blank,em branco
tender,macio
kurt,Kurt
turner,torneiro
tub,banheira
sucker,otário
slight,pouco
addition,Adição
campus,campus
